source name;source type;mapping type;target name;target type;mapping description;source ID;target ID
Filter Network Traffic;mitigation;mitigates;Unauthorized Command Message;technique;Perform inline allowlisting of automation protocol commands to prevent devices from sending unauthorized command or reporting messages. Allow/denylist techniques need to be designed with sufficient accuracy to prevent the unintended blocking of valid messages.;;
Filter Network Traffic;mitigation;mitigates;Valid Accounts;technique;Consider using IP allowlisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data.;;
Human User Authentication;mitigation;mitigates;Activate Firmware Update Mode;technique;Devices that allow remote management of firmware should require authentication before allowing any changes. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management;;
Human User Authentication;mitigation;mitigates;Change Operating Mode;technique;All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Human User Authentication;mitigation;mitigates;Commonly Used Port;technique;All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Human User Authentication;mitigation;mitigates;Data Historian Compromise;technique;All remote services should require strong authentication before providing user access.;;
Human User Authentication;mitigation;mitigates;Detect Operating Mode;technique;All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Human User Authentication;mitigation;mitigates;Device Restart/Shutdown;technique;All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Human User Authentication;mitigation;mitigates;Execution through API;technique;All APIs on remote systems or local processes should require the authentication of users before executing any code or system changes.;;
Human User Authentication;mitigation;mitigates;Modify Alarm Settings;technique;All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Human User Authentication;mitigation;mitigates;Module Firmware;technique;Devices that allow remote management of firmware should require authentication before allowing any changes. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Human User Authentication;mitigation;mitigates;Point & Tag Identification;technique;All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Human User Authentication;mitigation;mitigates;Program Download;technique;All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Human User Authentication;mitigation;mitigates;Program Upload;technique;All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Human User Authentication;mitigation;mitigates;Remote Services;technique;All remote services should require strong authentication before providing user access.;;
Human User Authentication;mitigation;mitigates;System Firmware;technique;Devices that allow remote management of firmware should require authentication before allowing any changes. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management.;;
Limit Access to Resource Over Network;mitigation;mitigates;External Remote Services;technique;Limit access to remote services through centrally managed concentrators such as VPNs and other managed remote access systems.;;
Limit Hardware Installation;mitigation;mitigates;Engineering Workstation Compromise;technique;Enforce system policies or physical restrictions to limit hardware such as USB devices on workstations.;;
Limit Hardware Installation;mitigation;mitigates;Replication Through Removable Media;technique;Enforce system policies or physical restrictions to limit hardware such as USB devices on workstations.;;
Mechanical Protection Layers;mitigation;mitigates;Damage to Property;technique;Protection devices should have minimal digital components to prevent exposure to related adversarial techniques. Examples include interlocks, rupture disk, release values, etc.;;
Mechanical Protection Layers;mitigation;mitigates;Loss of Safety;technique;Protection devices should have minimal digital components to prevent exposure to related adversarial techniques. Examples include interlocks, rupture disk, release values, etc.;;
Minimize Wireless Signal Propagation;mitigation;mitigates;Wireless Compromise;technique;Techniques can include (i) reducing transmission power on wireless signals, (ii) adjusting antenna gain to prevent extensions beyond organizational boundaries, and (iii) employing RF shielding techniques to block excessive signal propagation.;;
Minimize Wireless Signal Propagation;mitigation;mitigates;Wireless Sniffing;technique;Reduce the range of RF communications to their intended operating range when possible. Propagation reduction methods may include (i) reducing transmission power on wireless signals, (ii) adjusting antenna gain to prevent extensions beyond organizational boundaries, and (iii) employing RF shielding techniques to block excessive signal propagation.;;
Mitigation Limited or Not Effective;mitigation;mitigates;Graphical User Interface;technique;Once an adversary has access to a remote GUI they can abuse system features, such as required HMI functions.;;
Mitigation Limited or Not Effective;mitigation;mitigates;I/O Image;technique;This technique may not be effectively mitigated against, consider controls for assets and processes that lead to the use of this technique.;;
Mitigation Limited or Not Effective;mitigation;mitigates;Manipulate I/O Image;technique;This technique may not be effectively mitigated against, consider controls for assets and processes that lead to the use of this technique.;;
Mitigation Limited or Not Effective;mitigation;mitigates;Monitor Process State;technique;This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.;;
Mitigation Limited or Not Effective;mitigation;mitigates;Network Connection Enumeration;technique;Network connection enumeration is likely obtained by using common system tools (e.g., netstat, ipconfig).;;
Mitigation Limited or Not Effective;mitigation;mitigates;Screen Capture;technique;Preventing screen capture on a device may require disabling various system calls supported by the operating systems (e.g., Microsoft WindowsGraphicsCaputer APIs), however, these may be needed for other critical applications.;;
Multi-factor Authentication;mitigation;mitigates;External Remote Services;technique;Use strong multi-factor authentication for remote service accounts to mitigate an adversary's ability to leverage stolen credentials. Be aware of multi-factor authentication interception techniques for some implementations.;;
Multi-factor Authentication;mitigation;mitigates;Network Sniffing;technique;Use multi-factor authentication wherever possible.;;
Multi-factor Authentication;mitigation;mitigates;Valid Accounts;technique;Integrating multi-factor authentication (MFA) as part of organizational policy can greatly reduce the risk of an adversary gaining access to valid credentials that may be used for additional tactics such as initial access, lateral movement, and collecting information. MFA can also be used to restrict access to cloud resources and APIs.;;
Network Allowlists;mitigation;mitigates;Activate Firmware Update Mode;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Alarm Suppression;technique;Utilize network allowlists to restrict unnecessary connections to network devices (e.g., comm servers, serial to ethernet converters) and services, especially in cases when devices have limits on the number of simultaneous sessions they support.;;
Network Allowlists;mitigation;mitigates;Automated Collection;technique;Utilize network allowlists to restrict unnecessary connections to network devices (e.g., comm servers, serial to ethernet converters) and services, especially in cases when devices have limits on the number of simultaneous sessions they support.;;
Network Allowlists;mitigation;mitigates;Block Command Message;technique;Utilize network allowlists to restrict unnecessary connections to network devices (e.g., comm servers, serial to ethernet converters) and services, especially in cases when devices have limits on the number of simultaneous sessions they support.;;
Network Allowlists;mitigation;mitigates;Block Reporting Message;technique;Utilize network allowlists to restrict unnecessary connections to network devices (e.g., comm servers, serial to ethernet converters) and services, especially in cases when devices have limits on the number of simultaneous sessions they support.;;
Network Allowlists;mitigation;mitigates;Block Serial COM;technique;Implement network allowlists to minimize serial comm port access to only authorized hosts, such as comm servers and RTUs.;;
Network Allowlists;mitigation;mitigates;Brute Force I/O;technique;Utilize network allowlists to restrict unnecessary connections to network devices (e.g., comm servers, serial to ethernet converters) and services, especially in cases when devices have limits on the number of simultaneous sessions they support.;;
Network Allowlists;mitigation;mitigates;Change Operating Mode;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Connection Proxy;technique;Network allowlists can be implemented through either host-based files or system host files to specify what external connections (e.g., IP address, MAC address, port, protocol) can be made from a device. Allowlist techniques that operate at the application layer (e.g., DNP3, Modbus, HTTP) are addressed in the Filter Network Traffic mitigation.;;
Network Allowlists;mitigation;mitigates;Damage to Property;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Data Historian Compromise;technique;Network allowlists can be implemented through either host-based files or system host files to specify what external connections (e.g., IP address, MAC address, port, protocol) can be made from a device. Allowlist techniques that operate at the application layer (e.g., DNP3, Modbus, HTTP) are addressed in the Filter Network Traffic mitigation.;;
Network Allowlists;mitigation;mitigates;Detect Operating Mode;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Device Restart/Shutdown;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Engineering Workstation Compromise;technique;Network allowlists can be implemented through either host-based files or system host files to specify what external connections (e.g., IP address, MAC address, port, protocol) can be made from a device. Allowlist techniques that operate at the application layer (e.g., DNP3, Modbus, HTTP) are addressed in the Filter Network Traffic mitigation.;;
Network Allowlists;mitigation;mitigates;Modify Alarm Settings;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Module Firmware;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Point & Tag Identification;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Program Download;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Program Upload;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Remote Services;technique;Network allowlists can be implemented through either host-based files or system host files to specify what external connections (e.g., IP address, MAC address, port, protocol) can be made from a device.;;
Network Allowlists;mitigation;mitigates;Rogue Master;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Spoof Reporting Message;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Standard Application Layer Protocol;technique;Network allowlists can be implemented through either host-based files or system host files to specify what external connections (e.g., IP address, MAC address, port, protocol) can be made from a device. Allowlist techniques that operate at the application layer (e.g., DNP3, Modbus, HTTP) are addressed in the Filter Network Traffic mitigation.;;
Network Allowlists;mitigation;mitigates;System Firmware;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Allowlists;mitigation;mitigates;Unauthorized Command Message;technique;Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations.;;
Network Intrusion Prevention;mitigation;mitigates;Commonly Used Port;technique;Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.;;
Network Intrusion Prevention;mitigation;mitigates;Connection Proxy;technique;Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific protocol used by a particular adversary or tool and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.;;
Network Intrusion Prevention;mitigation;mitigates;Lateral Tool Transfer;technique;Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools.;;
Network Intrusion Prevention;mitigation;mitigates;Man in the Middle;technique;Network intrusion detection and prevention systems that can identify traffic patterns indicative of MiTM activity can be used to mitigate activity at the network level.;;
Network Intrusion Prevention;mitigation;mitigates;Remote System Information Discovery;technique;Use network intrusion detection/prevention systems to detect and prevent remote service scans.;;
Network Intrusion Prevention;mitigation;mitigates;Spearphishing Attachment;technique;Network intrusion prevention systems and systems designed to scan and remove malicious email attachments can be used to block activity.;;
Network Intrusion Prevention;mitigation;mitigates;Standard Application Layer Protocol;technique;Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.;;
Network Intrusion Prevention;mitigation;mitigates;User Execution;technique;If a link is being visited by a user, network intrusion prevention systems and systems designed to scan and remove malicious downloads can be used to block activity.;;
Network Segmentation;mitigation;mitigates;Activate Firmware Update Mode;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Alarm Suppression;technique;Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment.;;
Network Segmentation;mitigation;mitigates;Automated Collection;technique;Prevent unauthorized systems from accessing control servers or field devices containing industrial information, especially services used for common automation protocols (e.g., DNP3, OPC).;;
Network Segmentation;mitigation;mitigates;Block Serial COM;technique;Restrict unauthorized devices from accessing serial comm ports.;;
Network Segmentation;mitigation;mitigates;Brute Force I/O;technique;Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment.;;
Network Segmentation;mitigation;mitigates;Change Operating Mode;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Commonly Used Port;technique;Configure internal and external firewalls to block traffic using common ports that associate to network protocols that may be unnecessary for that particular network segment.;;
Network Segmentation;mitigation;mitigates;Data Historian Compromise;technique;Consider placing the historian into a demilitarized zone (DMZ) to allow access from enterprise networks, while protecting the control system network.;;
Network Segmentation;mitigation;mitigates;Detect Operating Mode;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Device Restart/Shutdown;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Engineering Workstation Compromise;technique;Segment and control software movement between business and OT environments by way of one directional DMZs. Web access should be restricted from the OT environment. Engineering workstations, including transient cyber assets (TCAs) should have minimal connectivity to external networks, including Internet and email, further limit the extent to which these devices are dual-homed to multiple networks.;;
Network Segmentation;mitigation;mitigates;Exploit Public-Facing Application;technique;Segment externally facing servers and services from the rest of the network with a DMZ or on separate hosting infrastructure.;;
Network Segmentation;mitigation;mitigates;Exploitation of Remote Services;technique;Segment networks and systems appropriately to reduce access to critical system and services communications.;;
Network Segmentation;mitigation;mitigates;External Remote Services;technique;Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls. Consider a jump server or host into the DMZ for greater access control. Leverage this DMZ or corporate resources for vendor access.;;
Network Segmentation;mitigation;mitigates;Internet Accessible Device;technique;Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls. Steps should be taken to periodically inventory internet accessible devices to determine if it differs from the expected.;;
Network Segmentation;mitigation;mitigates;Man in the Middle;technique;Network segmentation can be used to isolate infrastructure components that do not require broad network access. This may mitigate, or at least alleviate, the scope of MiTM activity.;;
Network Segmentation;mitigation;mitigates;Modify Alarm Settings;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Module Firmware;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Network Sniffing;technique;Segment networks and systems appropriately to reduce access to critical system and services communications.;;
Network Segmentation;mitigation;mitigates;Point & Tag Identification;technique;Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment.;;
Network Segmentation;mitigation;mitigates;Program Download;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Program Upload;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Remote Services;technique;Segment and control software movement between business and OT environments by way of one directional DMZs. Web access should be restricted from the OT environment. Engineering workstations, including transient cyber assets (TCAs) should have minimal connectivity to external networks, including Internet and email, further limit the extent to which these devices are dual-homed to multiple networks.;;
Network Segmentation;mitigation;mitigates;Remote System Information Discovery;technique;Ensure proper network segmentation is followed to protect critical servers and devices.;;
Network Segmentation;mitigation;mitigates;Rogue Master;technique;Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment.;;
Network Segmentation;mitigation;mitigates;Service Stop;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Spoof Reporting Message;technique;Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment.;;
Network Segmentation;mitigation;mitigates;Standard Application Layer Protocol;technique;Ensure proper network segmentation between higher level corporate resources and the control process environment.;;
Network Segmentation;mitigation;mitigates;System Firmware;technique;Segment operational network and systems to restrict access to critical system functions to predetermined management systems.;;
Network Segmentation;mitigation;mitigates;Unauthorized Command Message;technique;Segment operational assets and their management devices based on their functional role within the process. Enabling more strict isolation to more critical control and operational information within the control environment.;;
Operating System Configuration;mitigation;mitigates;Replication Through Removable Media;technique;Harden the system through operating system controls to prevent the known or unknown use of malicious removable media.;;
Operational Information Confidentiality;mitigation;mitigates;Theft of Operational Information;technique;Example mitigations could include minimizing its distribution/storage or obfuscating the information (e.g., facility coverterms, codenames). In many cases this information may be necessary to support critical engineering, maintenance, or operational functions, therefore, it may not be feasible to implement.;;
Out-of-Band Communications Channel;mitigation;mitigates;Alarm Suppression;technique;Provide an alternative method for alarms to be reported in the event of a communication failure.;;
Out-of-Band Communications Channel;mitigation;mitigates;Block Command Message;technique;Provide an alternative method for sending critical commands message to outstations, this could include using radio/cell communication to send messages to a field technician that physically performs the control function.;;
Out-of-Band Communications Channel;mitigation;mitigates;Block Reporting Message;technique;Provide an alternative method for sending critical report messages to operators, this could include using radio/cell communication to obtain messages from field technicians that can locally obtain telemetry and status data.;;
Out-of-Band Communications Channel;mitigation;mitigates;Block Serial COM;technique;Ensure devices have an alternative method for communicating in the event that a valid COM port is unavailable.;;
Out-of-Band Communications Channel;mitigation;mitigates;Denial of Control;technique;Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage. Out-of-band communication should utilize diverse systems and technologies to minimize common failure modes and vulnerabilities within the communications infrastructure. For example, wireless networks (e.g., 3G, 4G) can be used to provide diverse and redundant delivery of data.;;
Out-of-Band Communications Channel;mitigation;mitigates;Denial of View;technique;Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage. Out-of-band communication should utilize diverse systems and technologies to minimize common failure modes and vulnerabilities within the communications infrastructure. For example, wireless networks (e.g., 3G, 4G) can be used to provide diverse and redundant delivery of data.;;
Out-of-Band Communications Channel;mitigation;mitigates;Loss of Availability;technique;Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage. Out-of-band communication should utilize diverse systems and technologies to minimize common failure modes and vulnerabilities within the communications infrastructure. For example, wireless networks (e.g., 3G, 4G) can be used to provide diverse and redundant delivery of data.;;
Out-of-Band Communications Channel;mitigation;mitigates;Loss of Control;technique;Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage. Out-of-band communication should utilize diverse systems and technologies to minimize common failure modes and vulnerabilities within the communications infrastructure. For example, wireless networks (e.g., 3G, 4G) can be used to provide diverse and redundant delivery of data.;;
Out-of-Band Communications Channel;mitigation;mitigates;Loss of View;technique;Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage. Out-of-band communication should utilize diverse systems and technologies to minimize common failure modes and vulnerabilities within the communications infrastructure. For example, wireless networks (e.g., 3G, 4G) can be used to provide diverse and redundant delivery of data.;;
Out-of-Band Communications Channel;mitigation;mitigates;Man in the Middle;technique;Utilize out-of-band communication to validate the integrity of data from the primary channel.;;
Out-of-Band Communications Channel;mitigation;mitigates;Manipulation of Control;technique;Utilize out-of-band communication to validate the integrity of data from the primary channel.;;
Out-of-Band Communications Channel;mitigation;mitigates;Manipulation of View;technique;Utilize out-of-band communication to validate the integrity of data from the primary channel.;;
Password Policies;mitigation;mitigates;Default Credentials;technique;Review vendor documents and security alerts for potentially unknown or overlooked default credentials within existing devices;;
Password Policies;mitigation;mitigates;External Remote Services;technique;Set and enforce secure password policies for accounts.;;
Password Policies;mitigation;mitigates;Remote Services;technique;Enforce strong password requirements to prevent password brute force methods for lateral movement.;;
Password Policies;mitigation;mitigates;Valid Accounts;technique;Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment.;;
Privileged Account Management;mitigation;mitigates;Data Destruction;technique;Minimize permissions and access for service accounts to limit the information that may be impacted by malicious users or software.;;
Privileged Account Management;mitigation;mitigates;Data from Information Repositories;technique;Minimize permissions and access for service accounts to limit the information that may be exposed or collected by malicious users or software.;;
Privileged Account Management;mitigation;mitigates;Exploit Public-Facing Application;technique;Use least privilege for service accounts.;;
Privileged Account Management;mitigation;mitigates;Exploitation of Remote Services;technique;Minimize permissions and access for service accounts to limit impact of exploitation.;;
Privileged Account Management;mitigation;mitigates;Network Sniffing;technique;Restrict root or administrator access on user accounts to limit the ability to capture promiscuous traffic on a network through common packet capture tools.;;
Privileged Account Management;mitigation;mitigates;Valid Accounts;technique;Audit domain and local accounts and their permission levels routinely to look for situations that could allow an adversary to gain system wide access with stolen privileged account credentials. These audits should also identify if default accounts have been enabled, or if new local accounts are created that have not be authorized. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers.;;
Redundancy of Service;mitigation;mitigates;Denial of Control;technique;Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse communication over a local network.;;
Redundancy of Service;mitigation;mitigates;Denial of View;technique;Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse communication over a local network.;;
Redundancy of Service;mitigation;mitigates;Loss of Availability;technique;Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse communication over a local network.;;
Redundancy of Service;mitigation;mitigates;Loss of Control;technique;Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse communication over a local network.;;
Redundancy of Service;mitigation;mitigates;Loss of View;technique;Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol can be used to simultaneously use redundant and diverse communication over a local network.;;
Restrict File and Directory Permissions;mitigation;mitigates;Data Destruction;technique;Protect files stored locally with proper permissions to limit opportunities for adversaries to impact data storage.;;
Restrict File and Directory Permissions;mitigation;mitigates;Data from Information Repositories;technique;Protect files stored locally with proper permissions to limit opportunities for adversaries to interact and collect information from databases.;;
Restrict File and Directory Permissions;mitigation;mitigates;Indicator Removal on Host;technique;Protect files stored locally with proper permissions to limit opportunities for adversaries to remove indicators of their activity on the system.;;
Restrict File and Directory Permissions;mitigation;mitigates;Masquerading;technique;Use file system access controls to protect system and application folders.;;
Restrict File and Directory Permissions;mitigation;mitigates;Project File Infection;technique;Ensure permissions restrict project file access to only engineer and technician user groups and accounts.;;
Restrict File and Directory Permissions;mitigation;mitigates;Service Stop;technique;Ensure proper process and file permissions are in place to inhibit adversaries from disabling or interfering with critical services.;;
Restrict File and Directory Permissions;mitigation;mitigates;Theft of Operational Information;technique;Protect files stored locally with proper permissions to limit opportunities for adversaries to interact and collect information from databases.;;
Restrict Library Loading;mitigation;mitigates;Hooking;technique;Restrict the use of untrusted or unknown libraries, such as remote or unknown DLLs.;;
Restrict Registry Permissions;mitigation;mitigates;Service Stop;technique;Ensure proper registry permissions are in place to inhibit adversaries from disabling or interfering with critical services.;;
Restrict Web-Based Content;mitigation;mitigates;Drive-by Compromise;technique;Restrict browsers to limit the capabilities of malicious ads and Javascript.;;
Restrict Web-Based Content;mitigation;mitigates;Spearphishing Attachment;technique;Consider restricting access to email within critical process environments. Additionally, downloads and attachments may be disabled if email is still necessary.;;
Restrict Web-Based Content;mitigation;mitigates;User Execution;technique;If a link is being visited by a user, block unknown or unused files in transit by default that should not be downloaded or by policy from suspicious sites as a best practice to prevent some vectors, such as .scr, .exe, .pif, .cpl, etc. Some download scanning devices can open and analyze compressed and encrypted formats, such as zip and rar that may be used to conceal malicious files.;;
SSL/TLS Inspection;mitigation;mitigates;Connection Proxy;technique;If it is possible to inspect HTTPS traffic, the captures can be analyzed for connections that appear to be domain fronting.;;
Safety Instrumented Systems;mitigation;mitigates;Damage to Property;technique;Ensure that all SIS are segmented from operational networks to prevent them from being targeted by additional adversarial behavior.;;
Safety Instrumented Systems;mitigation;mitigates;Loss of Safety;technique;Ensure that all SIS are segmented from operational networks to prevent them from being targeted by additional adversarial behavior.;;
Software Configuration;mitigation;mitigates;Data Historian Compromise;technique;Consider the principle of least functionality when configuring ICS software to limit host or network-based capabilities within the control environment.;;
Software Process and Device Authentication;mitigation;mitigates;Activate Firmware Update Mode;technique;Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.;;
Software Process and Device Authentication;mitigation;mitigates;Brute Force I/O;technique;Devices should authenticate all messages between master and outstation assets.;;
Software Process and Device Authentication;mitigation;mitigates;Change Operating Mode;technique;Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.;;
Software Process and Device Authentication;mitigation;mitigates;Data Historian Compromise;technique;All communication sessions with the historian should be authenticated to prevent unauthorized access.;;
Software Process and Device Authentication;mitigation;mitigates;Detect Operating Mode;technique;Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.;;
Software Process and Device Authentication;mitigation;mitigates;Device Restart/Shutdown;technique;Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.;;
Software Process and Device Authentication;mitigation;mitigates;Man in the Middle;technique;To protect against MITM, authentication mechanisms should not send credentials across the network in plaintext and should also implement mechanisms to prevent replay attacks (such as nonces or timestamps). Challenge-response based authentication techniques that do not directly send credentials over the network provide better protection from MITM.;;
Software Process and Device Authentication;mitigation;mitigates;Modify Alarm Settings;technique;Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.;;
Software Process and Device Authentication;mitigation;mitigates;Module Firmware;technique;Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.;;
Software Process and Device Authentication;mitigation;mitigates;Point & Tag Identification;technique;Devices should authenticate all messages between master and outstation assets.;;
Software Process and Device Authentication;mitigation;mitigates;Program Download;technique;Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.;;
Software Process and Device Authentication;mitigation;mitigates;Program Upload;technique;Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.;;
Software Process and Device Authentication;mitigation;mitigates;Remote Services;technique;All communication sessions to remote services should be authenticated to prevent unauthorized access.;;
Software Process and Device Authentication;mitigation;mitigates;Rogue Master;technique;Devices should authenticate all messages between master and outstation assets.;;
Software Process and Device Authentication;mitigation;mitigates;Spoof Reporting Message;technique;Devices should authenticate all messages between master and outstation assets.;;
Software Process and Device Authentication;mitigation;mitigates;System Firmware;technique;Authenticate connections from software and devices to prevent unauthorized systems from accessing protected management functions.;;
Software Process and Device Authentication;mitigation;mitigates;Unauthorized Command Message;technique;Devices should authenticate all messages between master and outstation assets.;;
