Competency ID;Competency;KSA ID;KSA
C037;Organizational Awareness;K0502;Knowledge of organization decision support tools and/or methods.
C037;Organizational Awareness;K0504;Knowledge of organization issues, objectives, and operations in cyber as well as regulations and policy directives governing cyber operations.
C037;Organizational Awareness;K0506;Knowledge of organization objectives, leadership priorities, and decision-making risks.
C037;Organizational Awareness;K0508;Knowledge of organization policies and planning concepts for partnering with internal and/or external organizations.
C037;Organizational Awareness;K0511;Knowledge of organizational hierarchy and cyber decision-making processes.
C037;Organizational Awareness;K0512;Knowledge of organizational planning concepts.
C037;Organizational Awareness;K0514;Knowledge of organizational structures and associated intelligence capabilities.
C037;Organizational Awareness;K0572;Knowledge of the functions and capabilities of internal teams that emulate threat activities to benefit the organization.
C037;Organizational Awareness;K0582;Knowledge of the organizational planning and staffing process.
C037;Organizational Awareness;K0585;Knowledge of the organizational structure as it pertains to full spectrum cyber operations, including the functions, responsibilities, and interrelationships among distinct internal elements.
C037;Organizational Awareness;K0598;Knowledge of the structure and intent of organization specific plans, guidance and authorizations.
C038;Policy Management;K0432;Knowledge of existing, emerging, and long-range issues related to cyber operations strategy, policy, and organization.
C041;Process Control;S0296;Skill in utilizing feedback to improve processes, products, and services.
C041;Process Control;S0312;Skill to apply the process used to assess the performance and impact of cyber operations.
C044;Risk Management;K0002;Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
C044;Risk Management;K0379;Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc.
C044;Risk Management;K0455;Knowledge of information security concepts, facilitating technologies and methods.
C009;Conflict Management;K0422;Knowledge of deconfliction processes and procedures.
C011;Critical Thinking;S0309;Skill to anticipate key target or threat activities which are likely to prompt a leadership decision.
C011;Critical Thinking;A0070;Ability to apply critical reading/thinking skills.
C011;Critical Thinking;A0085;Ability to exercise judgment when policies are not well-defined.
C011;Critical Thinking;A0096;Ability to interpret and understand complex and rapidly evolving concepts.
C028;Interpersonal Skills;A0089;Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise.
C028;Interpersonal Skills;A0082;Ability to effectively collaborate via virtual teams.
C028;Interpersonal Skills;A0074;Ability to collaborate effectively with others.
C028;Interpersonal Skills;A0067;Ability to adjust to and operate in a diverse, unpredictable, challenging, and fast-paced work environment.
C028;Interpersonal Skills;A0098;Ability to participate as a member of planning teams, coordination groups, and task forces as necessary.
C039;Presenting Effectively;S0249;Skill in preparing and presenting briefings.
C039;Presenting Effectively;S0297;Skill in utilizing virtual collaborative workspaces and/or tools (e.g., IWS, VTCs, chat rooms, SharePoint).
C039;Presenting Effectively;S0333;Skill to graphically depict decision support materials containing intelligence and partner capability estimates.
C039;Presenting Effectively;A0013;Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means. 
C060;Written Communication;S0213;Skill in documenting and communicating complex technical and programmatic information.
C060;Written Communication;S0250;Skill in preparing plans and related correspondence.
C007;Computer Network Defense;K0408;Knowledge of cyber actions (i.e. cyber defense, information gathering, environment preparation, cyber-attack) principles, capabilities, limitations, and effects.
C007;Computer Network Defense;K0507;Knowledge of organization or partner exploitation of digital networks.
C008;Computers and Electronics;K0109;Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage).
C012;Data Analysis;S0218;Skill in evaluating information for reliability, validity, and relevance.
C013;Data Management;K0377;Knowledge of classification and control markings standards, policies and procedures.
C013;Data Management;A0066;Ability to accurately and completely source all data used in intelligence, assessment and/or planning products.
C017;Encryption;K0403;Knowledge of cryptologic capabilities, limitations, and contributions to cyber operations.
C021;Incident Management;K0399;Knowledge of crisis action planning and time sensitive planning procedures.
C021;Incident Management;K0519;Knowledge of planning timelines adaptive, crisis action, and time-sensitive planning.
C021;Incident Management;K0586;Knowledge of the outputs of course of action and exercise analysis.
C023;Information Management;K0576;Knowledge of the information environment.
C023;Information Management;A0105;Ability to tailor technical and planning information to a customer’s level of understanding.
C024;Information Systems/Network Security;K0004;Knowledge of cybersecurity and privacy principles.
C024;Information Systems/Network Security;K0435;Knowledge of fundamental cyber concepts, principles, limitations, and effects.
C024;Information Systems/Network Security;K0561;Knowledge of the basics of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection).
C025;Information Technology Assessment;S0360;Skill to analyze and assess internal and external partner cyber operations capabilities and tools.
C026;Infrastructure Design;K0001;Knowledge of computer networking concepts and protocols, and network security methodologies. 
C026;Infrastructure Design;K0395;Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.).
C026;Infrastructure Design;K0417;Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media).
C026;Infrastructure Design;K0471;Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering).
C026;Infrastructure Design;K0516;Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc.
C026;Infrastructure Design;K0565;Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications.
C027;Intelligence Analysis;K0352;Knowledge of forms of intelligence support needs, topics, and focus areas.
C027;Intelligence Analysis;K0464;Knowledge of intelligence support to planning, execution, and assessment.
C027;Intelligence Analysis;K0525;Knowledge of required intelligence planning products associated with cyber operational planning.
C035;Operations Support;K0400;Knowledge of crisis action planning for cyber operations.
C035;Operations Support;K0414;Knowledge of cyber operations support or enabling processes.
C035;Operations Support;K0436;Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects.
C035;Operations Support;K0465;Knowledge of internal and external partner cyber operations capabilities and tools.
C035;Operations Support;K0494;Knowledge of objectives, situation, operational environment, and the status and disposition of internal and external partner collection capabilities available to support planning.
C035;Operations Support;K0497;Knowledge of operational effectiveness assessment.
C035;Operations Support;K0499;Knowledge of operations security.
C035;Operations Support;K0501;Knowledge of organization cyber operations programs, strategies, and resources.
C035;Operations Support;K0589;Knowledge of the process used to assess the performance and impact of operations.
C035;Operations Support;K0590;Knowledge of the processes to synchronize operational assessment procedures with the critical information requirement process.
C035;Operations Support;K0593;Knowledge of the range of cyber operations and their underlying intelligence support needs, topics, and focus areas.
C035;Operations Support;K0594;Knowledge of the relationships between end states, objectives, effects, lines of operation, etc.
C035;Operations Support;K0597;Knowledge of the role of network operations in supporting and facilitating other organization operations.
C035;Operations Support;S0322;Skill to craft indicators of operational progress/success.
C035;Operations Support;S0209;Skill in developing and executing comprehensive cyber operations assessment programs for assessing and validating operational performance characteristics.
C035;Operations Support;A0077;Ability to coordinate cyber operations with other organization functions or support activities.
C040;Problem Solving;A0081;Ability to develop or recommend planning solutions to problems and situations for which no precedent exists.
C043;Requirements Analysis;K0566;Knowledge of the critical information requirements and how they're used in planning.
C043;Requirements Analysis;S0349;Skill to synchronize operational assessment procedures with the critical information requirement process.
C048;System Administration;K0610;Knowledge of virtualization products (VMware, Virtual PC).
C049;Systems Integration;K0036;Knowledge of human-computer interaction principles.
C049;Systems Integration;K0347;Knowledge and understanding of operational design.
C053;Technology Awareness;K0431;Knowledge of evolving/emerging communications technologies.
C054;Telecommunications;K0108;Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless).
C054;Telecommunications;K0445;Knowledge of how modern digital and telephony networks impact cyber operations.
C054;Telecommunications;K0446;Knowledge of how modern wireless communications systems impact cyber operations.
C054;Telecommunications;K0556;Knowledge of telecommunications fundamentals.
C054;Telecommunications;K0560;Knowledge of the basic structure, architecture, and design of modern communication networks.
C054;Telecommunications;K0599;Knowledge of the structure, architecture, and design of modern digital and telephony networks. 
C054;Telecommunications;K0614;Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems.
C055;Threat Analysis;K0362;Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.).
C055;Threat Analysis;K0480;Knowledge of malware.
C055;Threat Analysis;K0603;Knowledge of the ways in which targets or threats use the Internet.
C055;Threat Analysis;K0612;Knowledge of what constitutes a “threat” to a network.
C057;Vulnerabilities Assessment;K0005;Knowledge of cyber threats and vulnerabilities. 
C057;Vulnerabilities Assessment;K0006;Knowledge of specific operational impacts of cybersecurity lapses.
C057;Vulnerabilities Assessment;K0392;Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.).
C057;Vulnerabilities Assessment;K0538;Knowledge of target and threat organization structures, critical capabilities, and critical vulnerabilities
C058;Web Technology;K0349;Knowledge of website types, administration, functions, and content management system (CMS).
C058;Web Technology;K0444;Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP).
C047;Strategic Planning;S0185;Skill in applying analytical methods typically employed to support planning and to justify recommended strategies and courses of action.
C047;Strategic Planning;S0326;Skill to distinguish between notional and actual resources and their applicability to the plan under development.
C059;Workforce Management;A0068;Ability to apply approved planning development and staffing processes.
C002;Business Continuity;S0186;Skill in applying crisis planning procedures.
C019;External Awareness;A0090;Ability to identify external partners with common cyber operations interests.
C030;Legal, Government, and Jurisprudence;K0003;Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. 
C030;Legal, Government, and Jurisprudence;K0411;Knowledge of cyber laws and legal considerations and their effect on cyber planning.
C030;Legal, Government, and Jurisprudence;A0094;Ability to interpret and apply laws, regulations, policies, and guidance relevant to organization cyber objectives.
C037;Organizational Awareness;K0350;Knowledge of accepted organization planning systems.
C037;Organizational Awareness;K0504;Knowledge of organization issues, objectives, and operations in cyber as well as regulations and policy directives governing cyber operations.
C037;Organizational Awareness;K0506;Knowledge of organization objectives, leadership priorities, and decision-making risks.
C037;Organizational Awareness;K0508;Knowledge of organization policies and planning concepts for partnering with internal and/or external organizations.
C037;Organizational Awareness;K0511;Knowledge of organizational hierarchy and cyber decision-making processes.
C037;Organizational Awareness;K0512;Knowledge of organizational planning concepts.
C037;Organizational Awareness;K0514;Knowledge of organizational structures and associated intelligence capabilities.
C037;Organizational Awareness;K0585;Knowledge of the organizational structure as it pertains to full spectrum cyber operations, including the functions, responsibilities, and interrelationships among distinct internal elements.
C037;Organizational Awareness;K0598;Knowledge of the structure and intent of organization specific plans, guidance and authorizations.
C038;Policy Management;K0432;Knowledge of existing, emerging, and long-range issues related to cyber operations strategy, policy, and organization.
C041;Process Control;S0296;Skill in utilizing feedback to improve processes, products, and services.
C044;Risk Management;K0002;Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
C044;Risk Management;K0379;Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc.
C044;Risk Management;K0455;Knowledge of information security concepts, facilitating technologies and methods.
C009;Conflict Management;K0422;Knowledge of deconfliction processes and procedures.
C011;Critical Thinking;A0070;Ability to apply critical reading/thinking skills.
C011;Critical Thinking;A0085;Ability to exercise judgment when policies are not well-defined.
C011;Critical Thinking;A0096;Ability to interpret and understand complex and rapidly evolving concepts.
C028;Interpersonal Skills;A0089;Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise.
C028;Interpersonal Skills;A0082;Ability to effectively collaborate via virtual teams.
C028;Interpersonal Skills;A0074;Ability to collaborate effectively with others.
C028;Interpersonal Skills;A0067;Ability to adjust to and operate in a diverse, unpredictable, challenging, and fast-paced work environment.
C028;Interpersonal Skills;A0098;Ability to participate as a member of planning teams, coordination groups, and task forces as necessary.
C039;Presenting Effectively;S0249;Skill in preparing and presenting briefings.
C039;Presenting Effectively;S0297;Skill in utilizing virtual collaborative workspaces and/or tools (e.g., IWS, VTCs, chat rooms, SharePoint).
C039;Presenting Effectively;A0013;Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means. 
C060;Written Communication;S0213;Skill in documenting and communicating complex technical and programmatic information.
C060;Written Communication;S0250;Skill in preparing plans and related correspondence.
C007;Computer Network Defense;K0408;Knowledge of cyber actions (i.e. cyber defense, information gathering, environment preparation, cyber-attack) principles, capabilities, limitations, and effects.
C007;Computer Network Defense;K0507;Knowledge of organization or partner exploitation of digital networks.
C008;Computers and Electronics;K0109;Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage).
C012;Data Analysis;S0218;Skill in evaluating information for reliability, validity, and relevance.
C013;Data Management;K0377;Knowledge of classification and control markings standards, policies and procedures.
C013;Data Management;A0066;Ability to accurately and completely source all data used in intelligence, assessment and/or planning products.
C017;Encryption;K0403;Knowledge of cryptologic capabilities, limitations, and contributions to cyber operations.
C023;Information Management;A0105;Ability to tailor technical and planning information to a customer’s level of understanding.
C024;Information Systems/Network Security;K0004;Knowledge of cybersecurity and privacy principles.
C024;Information Systems/Network Security;K0435;Knowledge of fundamental cyber concepts, principles, limitations, and effects.
C025;Information Technology Assessment;S0360;Skill to analyze and assess internal and external partner cyber operations capabilities and tools.
C026;Infrastructure Design;K0001;Knowledge of computer networking concepts and protocols, and network security methodologies. 
C026;Infrastructure Design;K0395;Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.).
C026;Infrastructure Design;K0417;Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media).
C035;Operations Support;K0400;Knowledge of crisis action planning for cyber operations.
C035;Operations Support;K0414;Knowledge of cyber operations support or enabling processes.
C035;Operations Support;K0436;Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects.
C035;Operations Support;K0465;Knowledge of internal and external partner cyber operations capabilities and tools.
C035;Operations Support;K0499;Knowledge of operations security.
C035;Operations Support;K0501;Knowledge of organization cyber operations programs, strategies, and resources.
C035;Operations Support;A0077;Ability to coordinate cyber operations with other organization functions or support activities.
C040;Problem Solving;A0081;Ability to develop or recommend planning solutions to problems and situations for which no precedent exists.
C053;Technology Awareness;K0431;Knowledge of evolving/emerging communications technologies.
C054;Telecommunications;K0108;Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless).
C054;Telecommunications;K0599;Knowledge of the structure, architecture, and design of modern digital and telephony networks. 
C055;Threat Analysis;K0362;Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.).
C057;Vulnerabilities Assessment;K0005;Knowledge of cyber threats and vulnerabilities. 
C057;Vulnerabilities Assessment;K0006;Knowledge of specific operational impacts of cybersecurity lapses.
C057;Vulnerabilities Assessment;K0392;Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.).
C057;Vulnerabilities Assessment;K0538;Knowledge of target and threat organization structures, critical capabilities, and critical vulnerabilities
C058;Web Technology;K0444;Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP).
C002;Business Continuity;K0021;Knowledge of data backup and recovery.
C030;Legal, Government, and Jurisprudence;K0003;Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. 
C044;Risk Management;K0002;Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
C044;Risk Management;K0379;Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc.
C009;Conflict Management;K0423;Knowledge of deconfliction reporting to include external organization interaction.
C060;Written Communication;S0281;Skill in technical writing.
C004;Collection Operations;A0099;Ability to perform network collection tactics, techniques, and procedures to include decryption capabilities/tools.
C004;Collection Operations;A0100;Ability to perform wireless collection procedures to include decryption capabilities/tools.
C005;Computer Forensics;K0433;Knowledge of forensic implications of operating system structure and operations.
C005;Computer Forensics;K0573;Knowledge of the fundamentals of digital forensics to extract actionable intelligence.
C006;Computer Languages;K0051;Knowledge of low-level computer languages (e.g., assembly languages).
C006;Computer Languages;K0372;Knowledge of programming concepts (e.g., levels, structures, compiled vs. interpreted languages).
C006;Computer Languages;S0257;Skill in reading, interpreting, writing, modifying, and executing simple scripts (e.g., PERL, VBS) on Windows and Unix systems (e.g., those that perform tasks like parsing large data files, automating manual tasks, and fetching/processing remote data).
C006;Computer Languages;S0266;Skill in relevant programming languages (e.g., C++, Python, etc.). 
C007;Computer Network Defense;K0440;Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.
C007;Computer Network Defense;K0530;Knowledge of security hardware and software options, including the network artifacts they induce and their effects on exploitation.
C008;Computers and Electronics;K0109;Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage).
C012;Data Analysis;S0183;Skill in analyzing terminal or environment collection data.
C012;Data Analysis;S0252;Skill in processing collected data for follow-on analysis.
C012;Data Analysis;S0363;Skill to analyze and assess internal and external partner reporting.
C013;Data Management;K0142;Knowledge of collection management processes, capabilities, and limitations.
C013;Data Management;S0202;Skill in data mining techniques (e.g., searching file systems) and analysis.
C013;Data Management;S0295;Skill in using various open source data collection tools (online trade, DNS, mail, etc.).
C015;Database Administration;K0373;Knowledge of basic software applications (e.g., data storage and backup, database applications) and the types of vulnerabilities that have been found in those applications.
C015;Database Administration;K0420;Knowledge of database theory.
C017;Encryption;K0403;Knowledge of cryptologic capabilities, limitations, and contributions to cyber operations.
C017;Encryption;K0428;Knowledge of encryption algorithms and tools for wireless local area networks (WLANs).
C017;Encryption;K0427;Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP).
C017;Encryption;S0298;Skill in verifying the integrity of all files. (e.g., checksums, Exclusive OR, secure hashes, check constraints, etc.).
C023;Information Management;K0429;Knowledge of enterprise-wide information management.
C023;Information Management;K0468;Knowledge of internal and external partner reporting.
C024;Information Systems/Network Security;K0004;Knowledge of cybersecurity and privacy principles.
C025;Information Technology Assessment;S0190;Skill in assessing current tools to identify needed improvements.
C025;Information Technology Assessment;S0282;Skill in testing and evaluating tools for implementation.
C026;Infrastructure Design;K0001;Knowledge of computer networking concepts and protocols, and network security methodologies. 
C026;Infrastructure Design;K0486;Knowledge of network construction and topology.
C026;Infrastructure Design;K0516;Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc.
C026;Infrastructure Design;K0565;Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications.
C026;Infrastructure Design;S0236;Skill in identifying the devices that work at each level of protocol models.
C029;Knowledge Management;S0243;Skill in knowledge management, including technical documentation techniques (e.g., Wiki page).
C033;Network Management;K0485;Knowledge of network administration.
C033;Network Management;S0192;Skill in auditing firewalls, perimeters, routers, and intrusion detection systems.
C033;Network Management;A0097;Ability to monitor system operations and react to events in response to triggers and/or observation of trends or unusual activity. 
C034;Operating Systems;K0452;Knowledge of implementing Unix and Windows systems that provide radius authentication and logging, DNS, mail, web service, FTP server, DHCP, firewall, and SNMP.
C034;Operating Systems;K0608;Knowledge of Unix/Linux and Windows operating systems structures and internals (e.g., process management, directory structure, installed applications).
C034;Operating Systems;S0267;Skill in remote command line and Graphic User Interface (GUI) tool usage.
C043;Requirements Analysis;A0095;Ability to interpret and translate customer requirements into operational action.
C048;System Administration;K0224;Knowledge of system administration concepts for operating systems such as but not limited to Unix/Linux, IOS, Android, and Windows operating systems.
C048;System Administration;K0363;Knowledge of auditing and logging procedures (including server-based logging).
C048;System Administration;K0406;Knowledge of current software and methodologies for active defense and system hardening.
C048;System Administration;K0609;Knowledge of virtual machine technologies.
C048;System Administration;S0062;Skill in analyzing memory dumps to extract information.
C048;System Administration;S0206;Skill in determining installed patches on various operating systems and identifying patch signatures.
C048;System Administration;S0275;Skill in server administration.
C051;Target Development;S0182;Skill in analyzing target communications internals and externals collected from wireless LANs.
C051;Target Development;S0255;Skill in providing real-time, actionable geolocation information utilizing target infrastructures.
C051;Target Development;S0293;Skill in using tools, techniques, and procedures to remotely exploit and establish persistence on a target.
C051;Target Development;S0299;Skill in wireless network target analysis, templating, and geolocation.
C054;Telecommunications;K0375;Knowledge of wireless applications vulnerabilities.
C054;Telecommunications;K0438;Knowledge of mobile cellular communications architecture (e.g., LTE, CDMA, GSM/EDGE and UMTS/HSPA).
C054;Telecommunications;K0528;Knowledge of satellite-based communication systems.
C054;Telecommunications;K0560;Knowledge of the basic structure, architecture, and design of modern communication networks.
C054;Telecommunications;S0276;Skill in survey, collection, and analysis of wireless LAN metadata.
C055;Threat Analysis;K0430;Knowledge of evasion strategies and techniques.
C055;Threat Analysis;K0480;Knowledge of malware.
C055;Threat Analysis;K0536;Knowledge of structure, approach, and strategy of exploitation tools (e.g., sniffers, keyloggers) and techniques (e.g., gaining backdoor access, collecting/exfiltrating data, conducting vulnerability analysis of other systems in the network).
C055;Threat Analysis;S0270;Skill in reverse engineering (e.g., hex editing, binary packaging utilities, debugging, and strings analysis) to identify function and ownership of remote tools.
C057;Vulnerabilities Assessment;K0005;Knowledge of cyber threats and vulnerabilities. 
C057;Vulnerabilities Assessment;K0006;Knowledge of specific operational impacts of cybersecurity lapses.
C057;Vulnerabilities Assessment;K0009;Knowledge of application vulnerabilities.
C057;Vulnerabilities Assessment;K0481;Knowledge of methods and techniques used to detect various exploitation activities.
C057;Vulnerabilities Assessment;K0531;Knowledge of security implications of software configurations.
C057;Vulnerabilities Assessment;S0221;Skill in extracting information from packet captures.
C057;Vulnerabilities Assessment;S0242;Skill in interpreting vulnerability scanner results to identify vulnerabilities.
C030;Legal, Government, and Jurisprudence;K0003;Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. 
C030;Legal, Government, and Jurisprudence;K0123;Knowledge of legal governance related to admissibility (e.g. Rules of Evidence). 
C030;Legal, Government, and Jurisprudence;K0125;Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody.
C030;Legal, Government, and Jurisprudence;K0155;Knowledge of electronic evidence law.
C030;Legal, Government, and Jurisprudence;K0156;Knowledge of legal rules of evidence and court procedure.
C030;Legal, Government, and Jurisprudence;K0168;Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures.
C030;Legal, Government, and Jurisprudence;K0251;Knowledge of the judicial process, including the presentation of facts and evidence.
C030;Legal, Government, and Jurisprudence;K0351;Knowledge of applicable statutes, laws, regulations and policies governing cyber targeting and exploitation.
C044;Risk Management;K0002;Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
C056;Third Party Oversight/Acquisition Management;S0086;Skill in evaluating the trustworthiness of the supplier and/or product.
C005;Computer Forensics;K0118;Knowledge of processes for seizing and preserving digital evidence.
C005;Computer Forensics;K0128;Knowledge of types and collection of persistent data.
C005;Computer Forensics;S0047;Skill in preserving evidence integrity according to standard operating procedures or national standards.
C005;Computer Forensics;S0068;Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data.
C005;Computer Forensics;A0175;Ability to examine digital media on multiple operating system platforms.
C007;Computer Network Defense;K0046;Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.
C007;Computer Network Defense;K0110;Knowledge of adversarial tactics, techniques, and procedures.
C012;Data Analysis;S0072;Skill in using scientific rules and methods to solve problems.
C021;Incident Management;K0231;Knowledge of crisis management protocols, processes, and techniques. 
C024;Information Systems/Network Security;K0004;Knowledge of cybersecurity and privacy principles.
C026;Infrastructure Design;K0001;Knowledge of computer networking concepts and protocols, and network security methodologies. 
C026;Infrastructure Design;K0114;Knowledge of electronic devices (e.g., computer systems/components, access control devices, digital cameras, digital scanners, electronic organizers, hard drives, memory cards, modems, network components, networked appliances, networked home control devices, printers, removable storage devices, telephones, copiers, facsimile machines, etc.).
C027;Intelligence Analysis;K0209;Knowledge of covert communication techniques.
C055;Threat Analysis;K0107;Knowledge of Insider Threat investigations, reporting, investigative tools and laws/regulations.
C055;Threat Analysis;K0144;Knowledge of social dynamics of computer attackers in a global context.
C055;Threat Analysis;K0244;Knowledge of physical and physiological behaviors that may indicate suspicious or abnormal activity.
C057;Vulnerabilities Assessment;K0005;Knowledge of cyber threats and vulnerabilities. 
C057;Vulnerabilities Assessment;K0006;Knowledge of specific operational impacts of cybersecurity lapses.
C057;Vulnerabilities Assessment;K0070;Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code).
C057;Vulnerabilities Assessment;K0624;Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list)
C058;Web Technology;A0174;Ability to find and navigate the dark web using the TOR network to locate markets and forums.
C002;Business Continuity;K0021;Knowledge of data backup and recovery.
C002;Business Continuity;S0032;Skill in developing, testing, and implementing network infrastructure contingency and recovery plans.
C030;Legal, Government, and Jurisprudence;K0003;Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. 
C030;Legal, Government, and Jurisprudence;K0123;Knowledge of legal governance related to admissibility (e.g. Rules of Evidence). 
C030;Legal, Government, and Jurisprudence;K0125;Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody.
C030;Legal, Government, and Jurisprudence;K0155;Knowledge of electronic evidence law.
C030;Legal, Government, and Jurisprudence;K0156;Knowledge of legal rules of evidence and court procedure.
C030;Legal, Government, and Jurisprudence;K0168;Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures.
C044;Risk Management;K0002;Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
C005;Computer Forensics;K0118;Knowledge of processes for seizing and preserving digital evidence.
C005;Computer Forensics;K0122;Knowledge of investigative implications of hardware, Operating Systems, and network technologies.
C005;Computer Forensics;K0128;Knowledge of types and collection of persistent data.
C005;Computer Forensics;K0132;Knowledge of which system files (e.g., log files, registry files, configuration files) contain relevant information and where to find those system files.
C005;Computer Forensics;K0133;Knowledge of types of digital forensics data and how to recognize them.
C005;Computer Forensics;K0134;Knowledge of deployable forensics.
C005;Computer Forensics;K0182;Knowledge of data carving tools and techniques (e.g., Foremost).
C005;Computer Forensics;K0184;Knowledge of anti-forensics tactics, techniques, and procedures.
C005;Computer Forensics;K0185;Knowledge of forensics lab design configuration and support applications (e.g., VMWare, Wireshark).
C005;Computer Forensics;K0304;Knowledge of concepts and practices of processing digital forensic data.
C005;Computer Forensics;S0047;Skill in preserving evidence integrity according to standard operating procedures or national standards.
C005;Computer Forensics;S0065;Skill in identifying and extracting data of forensic interest in diverse media (i.e., media forensics).
C005;Computer Forensics;S0068;Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data.
C005;Computer Forensics;S0069;Skill in setting up a forensic workstation.
C005;Computer Forensics;S0071;Skill in using forensic tool suites (e.g., EnCase, Sleuthkit, FTK).
C005;Computer Forensics;S0075;Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems).
C005;Computer Forensics;S0090;Skill in analyzing anomalous code as malicious or benign.
C005;Computer Forensics;S0091;Skill in analyzing volatile data.
C005;Computer Forensics;S0133;Skill in processing digital evidence, to include protecting and making legally sound copies of evidence.
C005;Computer Forensics;A0005;Ability to decrypt digital data collections.
C005;Computer Forensics;A0043;Ability to conduct forensic analyses in and for both Windows and Unix/Linux environments.
C007;Computer Network Defense;S0092;Skill in identifying obfuscation techniques.
C007;Computer Network Defense;S0093;Skill in interpreting results of debugger to ascertain tactics, techniques, and procedures.
C008;Computers and Electronics;K0109;Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage).
C008;Computers and Electronics;S0074;Skill in physically disassembling PCs.
C017;Encryption;K0018;Knowledge of encryption algorithms 
C017;Encryption;S0089;Skill in one-way hash functions (e.g., Secure Hash Algorithm [SHA], Message Digest Algorithm [MD5]).
C018;Enterprise Architecture;K0255;Knowledge of network architecture concepts including topology, protocols, and components.
