KSAID,Description,Withdrawn?,CISSP,ISSAP,ISSEP,ISSMP,SSCP,CAP,CSSLP,HCISPP,CCSP
K0156,Knowledge of legal rules of evidence and court procedure.,,"7,2", , ,"4.2, 6, 6.2",4.2.2, ,"7,8","2.3.3, 4.1, 4.2, 4.3",5.5.2
K0157,"Knowledge of cyber defense and information security policies, procedures, and regulations.",,"1,8",4, ,"1,4","1, 2, 3.3.4, 4.2.1, 7.3.4",1.1.1,"2.1.3, 2.1.4","2.3, 4.1, 4.2, 4.3","1.5.1, 6"
K0158,"Knowledge of organizational information technology (IT) user security policies (e.g., account creation, password rules, access control).",,"1,8","1.1, 1.2", ,"2.1.2, 3.1.7","1.1, 1.4, 2.3, 2.5, 5, 6.3",4,"1.1.4, 1.1.5","2.3, 5.2.1, 5.3.4","1.3.2, 2.6.1, 2.7, 3.4, 5.3.7"
K0159,Knowledge of Voice over IP (VoIP).,,4.3.1,"3,3", ,"2,2", , , , ,"3,1"
K0160,Knowledge of the common attack vectors on the network layer.,,1.9.4,"4,2", ,"2.3, 3.2","5.1.7, 6.2, 7.1.3, 7.4.5", , ,6.1.6,"1.3.4, 3.3"
K0161,"Knowledge of different classes of attacks (e.g., passive, active, insider, close-in, distribution attacks).",,6.2.2,"2.2, 4.2", ,"3.2, 4.1","5.1.7, 6.2, 7.1.3, 7.4.5", , ,6.1.6,3.3.2
K0162,"Knowledge of cyber attackers (e.g., script kiddies, insider threat, non-nation state sponsored, and nation sponsored).",,6.2.2,"2.2, 4.2", ,"3.2, 4.1",7.1.3, ,3.1.1,6.1.6,"1.3.6, 3.3.2"
K0163,Knowledge of critical information technology (IT) procurement requirements.,,"1,11", ,"5,1","1, 2","3,2", ,"8,3", ,"5,4"
K0164,"Knowledge of functionality, quality, and security requirements and how these will apply to specific items of supply (i.e., elements and processes).",,"1,11","2.3, 4",5.1.3,"3.2.2, 3.2.3","2,4", ,"8,3","2.3.3, 5.3.5","1.4.4, 4.5.2, 6.5.4"
K0165,Knowledge of risk/threat assessment.,,"1,10",4.2.1,"2.1.4, 4.2.2","2.3, 3.1.6, 3.2","3, 7","1,2,3,4,5,6,7",6.9.4,"3.1.1, 6","1.3.6, 3.3, 3.5.1, 6.4"
K0166,WITHDRAWN: Knowledge of the nature and function of the relevant information structure. (See K0127),X, ,X,X,X,X, , , ,X
K0167,"Knowledge of system administration, network, and operating system hardening techniques.",,"3.5, 4.1","1, 2, 3, 5, 6", ,"2.1.2, 3.1.7","2.6.3, 7.1.4","3,4",3.7.8,6,"5,2"
K0168,"Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures.",,"1,4",4, ,"4.2, 6, 6.2","3.3.4, 4.2.1, 7.3.4","1.3, 1.3.1, 1.3.2, 1.3.3",2.1.4,"2.3.3, 4.1, 4.2, 4.3","1.5.1, 6"
K0169,"Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures.",,"1,11","2.3, 4",5.1.3," 1.7.2, 2.3.4, 3, 3.2.3","2,4", ,"8,3","2.3, 6.1.8, 6.3","3.1.6, 6.4"
K0170,Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.,,3.5.5,"2, 3",3,"1.3.5, 2.2","1,1", , , ,"1.4.5, 3.1, 3.3, 5"
K0171,Knowledge of hardware reverse engineering techniques.,,"1.11.1, 4.2.1", , , , , , , , 
K0172,"Knowledge of middleware (e.g., enterprise service bus and message queuing).",,"3,5", , , , , ,3.2.2, , 
K0173,WITHDRAWN: Integrated into K0499 (prior to draft SP 800-181),X, ,X,X,X,X, , , ,X
K0174,Knowledge of networking protocols.,,4.1.1,"2,7", ,"2,2","5.3, 6.1.5, 6.3.2, 6.4.3", , , ,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0175,Knowledge of software reverse engineering techniques.,,"8.3, 8.5.3", , , ,"7,1", ,"3,1", , 
K0176,Knowledge of Extensible Markup Language (XML) schemas.,,8.1.1, , , , , ,3.7.7, ,4.6.1
K0177,"Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks).",,"6.2.1, 6.2.2", , ,"4,1","3.2, 7.1", ,"3,1","5.2.1, 5.2.7, 5.3.4","1.3.2, 1.3.4, 2.6.1, 3.3"
K0178,"Knowledge of secure software deployment methodologies, tools, and practices.",,"8,1",6, ,"2,1","2.4, 2.6.3", ,"7.5, 8.3.8", ,4
K0179,"Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).",,"4,1","2,7","1.3.2, 3.3","2,2",6,"1.1.4, 2.1, 2.1.1, 2.1.2, 2.1.3", ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0180,"Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.",,"4,1","2.2, 2.7, 3.5", ,"2,2","3.2, 3.3, 6", , ,5.2.4,"1.2.5, 5.3.4"
K0181,"WITHDRAWN: Knowledge of transmission records (e.g., Bluetooth, Radio Frequency Identification [RFID], Infrared Networking [IR], Wireless Fidelity [Wi-Fi]. paging, cellular, satellite dishes), and jamming techniques that enable transmission of undesirable information, or prevent installed systems from operating correctly. (See K0274)",X, ,X,X,X,X, , , ,X
K0182,"Knowledge of data carving tools and techniques (e.g., Foremost).",,7.1.1, , , , , , , , 
K0183,Knowledge of reverse engineering concepts.,,"7,1", , , , , ,"3,1", , 
K0184,"Knowledge of anti-forensics tactics, techniques, and procedures.",,7.1.3, , , , , ,"7,8",2.3.3,"5,5"
K0185,"Knowledge of forensics lab design configuration and support applications (e.g., VMWare, Wireshark).",,"7,1", , , ,"7,4", , , ,"5,5"
K0186,Knowledge of debugging procedures and tools.,,8.1.1,6, , , , ,"4,9",2.3.3,"4,4"
K0187,Knowledge of file type abuse by adversaries for anomalous behavior.,,6.2.2, , , , , ,"3,1",6,1.3.6
K0188,"Knowledge of malware analysis tools (e.g., Oily Debug, Ida Pro).",,"6,2", , ,"2.3, 3.1.6, 3.2","4.1.2, 6.5, 7.1", ,"3,1",6, 
K0189,"Knowledge of malware with virtual machine detection (e.g. virtual aware malware, debugger aware malware, and unpacked malware that looks for VM-related strings in your computer’s display device).",,"4.3.5, 6.2", , , ,"7,1", ,"3,1",6,"3.1.4, 3.3, 5.2.3"
K0190,Knowledge of encryption methodologies.,,"3.5.4, 3.9","3.6, 6.1, 6.4", , ,5, ,1.1.1,5.2.2,"1.3.1, 2.3.1"
K0191,"Knowledge of signature implementation impact for viruses, malware, and attacks.",,7.1.4, , ,"2.3, 3.1.6, 3.2","7,1", ,"3,1",6,3.3.2
K0192,Knowledge of Windows/Unix ports and services.,,"3,5","2, 3, 6", , ,6.1.5, , ,6,5.2.3
K0193,Knowledge of advanced data remediation security features in databases.,,3.5.3,"6,6", , ,3.2.1, ,3.7.6,6,"1.1.4, 4.6.1"
K0194,"Knowledge of Cloud-based knowledge management technologies and concepts related to security, governance, procurement, and administration. ",,3.5.6, , ,1.5.2,"7,3", ,3.2.7,"2.1, 2.2, 2.3","1.2.3, 1.4.5, 1.5.1, 3.1, 6"
K0195,Knowledge of data classification standards and methodologies based on sensitivity and other risk factors.,,2.1.1,4.1.3, ," 1.7.2, 2.3.4, 3", , ,"3,6","2.3.2, 6.1.8",2
K0196,Knowledge of Import/Export Regulations related to cryptography and other security technologies.,,"1.4.3, 3.9","3.6, 4, 6.1, 6.4", , ,5.2.4, ,1.1.1,6,"1.3.1, 1.5.1, 6"
K0197,"Knowledge of database access application programming interfaces (e.g., Java Database Connectivity [JDBC]).",,3.5.3, , , ,3.2.1, ,3.7.6,6, 
K0198,"Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions).",,8.1.2,4.2.1, ,"2,1","2.4, 2.5, 2.6", , ,6,6
K0199,"Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA]).",,1.2.1,5.1.6,"3,3","2,2","2.2, 2.4", , ,6, 
K0200,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL]).",,"1.1, 1.2","2, 3", ,1, , , ,2.3.2,"1.5.1, 3.1.2, 3.1.6, 5.4"
K0201,Knowledge of symmetric key rotation techniques and concepts.,,3.9.4,"3,6", , ,5, ,1.1.1,6,"1.3.1, 2.3.1"
K0202,"Knowledge of the application firewall concepts and functions (e.g., Single point of authenticatio udit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing).",,7.8.1,"2, 3, 4.1.3", ,"2.3, 3.1.6, 3.2","3.3, 6.5", ,3.7.2,"2.3.1, 4.1.3,  5.2.4, 5.5.1, 6.2, 6.3.7, 7.2.2","4.6.1, 5.3.7"
K0203,"Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).",,3.9.2,1, ,"1,9","1,4", ,1.1.1,3.1.1,"1,3"
K0204,"Knowledge of learning assessment techniques (rubrics, evaluation plans, tests, quizzes).",,"6,2", , ,"1,6", , , ,"5.2.3, 5.3.7", 
K0205,"Knowledge of basic system, network, and OS hardening techniques.",,"3.5, 4.1","1, 2, 3, 5, 6", ,"2.1.2, 3.1.7","2.6.3, 7.1.4", ,3.7.8,6,5.2.3
K0206,Knowledge of ethical hacking principles and techniques.,,6.2.2, , ,"2.3, 3.1.6, 3.2","3,2", , ,"2,4","6.3, 6.4"
K0207,Knowledge of circuit analysis.,,4.2.2, , , , , , ,6,2.8.2
K0208,Knowledge of computer based training and e-learning services. ,,3.5.2, , ,"1,6","2,7", , ,"5.2.3, 5.3.7","4,1"
K0209,Knowledge of covert communication techniques.,,"6,1", , ,"4,1", , , , ,"3.3, 5.3"
K0210,Knowledge of data backup and restoration concepts.,,"7,11","2.3, 2.2.2, 4.3", ,5, , ,3.9.1,5.2.10,2
K0211,"Knowledge of confidentiality, integrity, and availability requirements.",,"1,1","1, 2, 3, 4, 5, 6", ,1,"2,2","1.2.1, 1.2.2, 2.2.2","1,1",3.1.1,"1, 2, 3, 4"
K0212,Knowledge of cybersecurity-enabled software products.,,"7,8",6, ,"2,2","2.5, 7.1.4, 7.2", ,"8,1",6,4
K0213,"Knowledge of instructional design and evaluation models (e.g., ADDIE, Smith/Ragan model, Gagne’s Events of Instruction, Kirkpatrick’s model of evaluation).",,6.3.5, , ,"1,6", , , , , 
K0214,Knowledge of the Risk Management Framework Assessment Methodology. ,,"1,9",5.1.2, ,"1.4, 2.3, 3.1.6, 3.2 6.3",3.1.3, ,6.9.4,"4.3, 6.2, 6.4",6.4.5
K0215,Knowledge of organizational training policies.,,6.3.5, , ,"1,6","2.6, 2.7", , ,"2.3.1, 5.2.3, 5.3.7","4,1"
K0216,"Knowledge of learning levels (i.e., Bloom’s Taxonomy of learning).",,6.3.5, , ,"1,6", , , ,"5.2.3, 5.3.7", 
K0217,Knowledge of Learning Management Systems and their use in managing learning.,,6.3.5, , ,"1,6", , , ,"5.2.3, 5.3.7", 
K0218,"Knowledge of learning styles (e.g., assimilator, auditory, kinesthetic).",,6.3.5, , , , , , ,"5.2.3, 5.3.7", 
K0219,WITHDRAWN: Knowledge of local area network (LAN) and wide area network (WAN) principles. (See K0050),X, ,X,X,X,X, , , ,X
K0220,"Knowledge of modes of learning (e.g., rote learning, observation).",,6.3.5, , ,"1,6", , , ,"5.2.3, 5.3.7", 
K0221,"Knowledge of OSI model and underlying network protocols (e.g., TCP/IP).",,4.1.1,"2.7, 3.2", ,"2,2","6.1.1, 6.1.5", , ,6,"1.3.4, 3.1.2"
K0222,"Knowledge of relevant laws, legal authorities, restrictions, and regulations pertaining to cyber defense activities.",,"1,4",4, ,"4.2, 6, 6.2","3.3.4, 4.2.1, 7.3.4","1.3, 1.3.1, 1.3.2, 1.3.3",6.9.2,"4.1, 4.2, 4.3","1.5.1, 6"
K0223,WITHDRAWN: Integrated into K0073,X, ,X,X,X,X, , , ,X
K0224,"Knowledge of system administration concepts for operating systems such as but not limited to Unix/Linux, IOS, Android, and Windows operating systems.",,"3,5","2, 6", ,"2,2", , ,3.7.8,6,5.2.3
K0225,WITHDRAWN: Knowledge of the common networking protocol and services deployed at CC/S/A. (See K0565),X, ,X,X,X,X, , , ,X
K0226,Knowledge of organizational training systems.,,6.3.5, , ,"1,6","2,7", , ,"5.2.3, 5.3.7", 
K0227,Knowledge of various types of computer architectures.,,"3,5","1, 2, 3, 5, 6","3,3","2,2",6, , ,6,"1, 1.2, 2.2"
K0228,Knowledge of taxonomy and semantic ontology theory.,,6.3.5, , , , , , , , 
K0229,"Knowledge of applications that can log errors, exceptions, and application faults and logging.",,6.2.3,"1.2.7, 2.2", , ,3.3.2, ,1.1.6,5.2.4,"2.8.2, 5.7.3"
K0230,Knowledge of cloud service models and how those models can limit incident response.,,"3.5.6, 7.7","2.6, 4.4", ,"1.5.2, 2.2","4, 3.3.4, 7.3","7,3","7,8","5.3.12, 7.7","1.2.3, 1.4.5, 5.4.5, 5.7.4"
K0231,"Knowledge of crisis management protocols, processes, and techniques. ",,"7,7","2,3", ,"4.2, 5.1", , ,"7,8",2.3.3,"1.4, 5.4"
K0232,"WITHDRAWN: Knowledge of critical protocols (e.g., IPSEC, AES, GRE, IKE).",X, ,X, ,X,X, , , ,X
K0233,"Knowledge of the National Cybersecurity Workforce Framework, work roles, and associated tasks, knowledge, skills, and abilities.",,"1.8, 7.5",5.1.2, ,"1.4, 6.3",3.1.3,1.1.6, ,"4.3, 6.5", 
K0234,"Knowledge of full spectrum cyber capabilities (e.g., defense, attack, exploitation).",,"1,1", , ,4,"6, 7", ,"3,1", ,"1, 2, 3, 4, 5"
K0235,"Knowledge of how to leverage research and development centers, think tanks, academic research, and industry systems.",, , , , , , , ,"4.1.6, 5.2.3, 5.3.7", 
K0236,"Knowledge of how to utilize Hadoop, Java, Python, SQL, Hive, and Pig to explore data.",,3.5.3, , , , , ,"3.7.6, 3.7.7", , 
K0237,Knowledge of industry best practices for service desk.,,"1.9, 1.9.10", , ,"1, 2", , , ,6,"5,4"
K0238,Knowledge of machine learning theory and principles.,,8.1.1, , , , , , ,"5.2.3, 5.3.7",1.2.6
K0239,"Knowledge of media production, communication, and dissemination techniques and methods, including alternative ways to inform via written, oral, and visual media.",,"4,3", , , , , , ,6, 
K0240,Knowledge of multi-level security systems and cross domain solutions.,,"3,4","1, 2, 3, 5, 6", ,"2.1, 2.2","1,4", , ,6, 
K0241,"Knowledge of organizational human resource policies, processes, and procedures.",,"1,8", , ,1, , , ,"2,3", 
K0242,Knowledge of organizational security policies.,,"1,6","2.2.2, 2.5, 2.7.4", ,"1,4","1, 2, 3, 4", ,"1,1",2.3.1,"2.7, 6"
K0243,"Knowledge of organizational training and education policies, processes, and procedures.",,"1,12","1, 2, 3, 4, 5, 6", ,"1,6","2.6, 2.7", , ,"2.3, 5.2.3, 5.3.7","4,1"
K0244,Knowledge of physical and physiological behaviors that may indicate suspicious or abnormal activity.,,"1,8", , ,1,"2.3, 7.1.3", ,"3,1",6,"3,3"
K0245,Knowledge of principles and processes for conducting training and education needs assessment.,,"1,8", , ,"1,6", , , ,"2.3.3, 5.2.3, 5.3.7", 
K0246,"Knowledge of relevant concepts, procedures, software, equipment, and technology applications.",,"3,5","1, 2, 3, 4, 5, 6", ,"2,2","1, 2, 6", , ,2.3.3,"1, 2, 3, 4, 5"
K0247,"Knowledge of remote access processes, tools, and capabilities related to customer support.",,"4.3, 4.3.3, 4.3.5",2.7.5, ,"2,2", , , ,"5.2.1, 5.3.4","1.3.2, 2.6.1, 5.3.1"
K0248,Knowledge of strategic theory and practice.,,1.2.1, , ,"1, 2", , , , ,"2.3, 3.3.4, 3.5.3"
K0249,"Knowledge of sustainment technologies, processes and strategies.",,1.2.2,"2.3, 2.7.1", ,"2.2, 5.1", , , ,2.3.3,"1, 2, 3, 4, 5"
K0250,Knowledge of Test & Evaluation processes for learners.,,"1,12", , ,"1,6", , , ,"2.3.3, 5.2.3, 5.3.7", 
K0251,"Knowledge of the judicial process, including the presentation of facts and evidence.",,"7,1", , ,"4.2, 6, 6.2","4,2", ,"7,8","1.1.6, 2.3.3","5,5"
K0252,"Knowledge of training and education principles and methods for curriculum design, teaching and instruction for individuals and groups, and the measurement of training and education effects.",,"1,12", , ,"1,6", , , ,"5.2.3, 5.3.7", 
K0253,WITHDRAWN: Integrated into K0227,X, ,X,X,X,X, , , ,X
K0254,Knowledge of binary analysis.,,8.5.1, , , ,"4.1.2, 6.5", ,"4,2", , 
K0255,"Knowledge of network architecture concepts including topology, protocols, and components.",,"4,1","2,7","3,3","2,2","6,1", , ,6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0256,WITHDRAWN: Integrated into K0224,X, ,X,X,X,X, , , ,X
K0257,Knowledge of information technology (IT) acquisition/procurement requirements.,,1.2.2, , ,3.1.4,"2,4", ,"8,1", ,"5,4"
K0258,"Knowledge of test procedures, principles, and methodologies (e.g., Capabilities and Maturity Model Integration (CMMI)).",,"1.9.10, 8.1.2",4.2.1, ,"2,1","2,6", , ,2.3.3,"3, 4"
K0259,Knowledge of malware analysis concepts and methodologies.,,7.8.7, , ,"4,1","7,1", ,"7,8",6,2.8.2
K0260,Knowledge of Personally Identifiable Information (PII) data security standards.,,1.4.5,4.1.3, ,1,5.2.3, ,"2,3","2.3.2, 4.1.3","1.5.1, 2.5.3, 6.2"
K0261,Knowledge of Payment Card Industry (PCI) data security standards.,,"1,4",4.1.3, ,1,5.2.3, ,6.9.3,2.3.2,"1.5.1, 2.5.3, 6.2"
K0262,Knowledge of Personal Health Information (PHI) data security standards.,,1.4.5,4.1.3, ,1,5.2.3, ,"2,3","2, 4.1.3","1.5.1, 2.5.3, 6.2"
K0263,"Knowledge of information technology (IT) risk management policies, requirements, and procedures.",,"1,8","4, 4.2", ,"1.7.2, 2.3.4, 3","3, 3.1, 3.2, 3.3, 3.4", ,6.9.4,"2.1, 2.2, 2.3, 6","2.7, 6"
K0264,"Knowledge of program protection planning (e.g. information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements).",,"1,11","4, 4.2",5," 1.7.2, 2.3.4, 3, 3.2.3","3, 3.1, 3.1.3, 3.2, 3.3, 3.4", ,"8,1","2.1, 2.2, 2.3, 6","1, 2, 3, 4, 5, 6"
K0265,"Knowledge of infrastructure supporting information technology (IT) for safety, performance, and reliability.",,"3,5","2, 3", ,"2,2", , , ,6,"1.2.5, 5.3.4"
K0266,Knowledge of how to evaluate the trustworthiness of the supplier and/or product.,,6.1.3,4, ,"3.2.2, 3.2.3","2,4", ,"8,1",6,6
K0267,"Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures.",,1.3.1,4, ,"4.2, 6, 6.2","3.3.4, 4.2.1, 7.3.4", ,"1,1","2.1, 2.2, 2.3, 4.2.2","1.5.1, 2.7, 6"
K0268,Knowledge of forensic footprint identification.,,7.1.4, , , ,"4,2", ,7.8.1,6,"5,5"
K0269,Knowledge of mobile communications architecture.,,"3,7","2, 3, 5", ,"2,2","7.1.1, 7.2.6", ,3.2.8,6, 
K0270,Knowledge of the acquisition/procurement life cycle process.,,1.2.2, , ,"2,1","2,4", ,"8,1","1.3.1, 2.3.3, 3.2","1.4.1, 2.1.1, 4"
K0271,"Knowledge of operating system structures and internals (e.g., process management, directory structure, installed applications).",,"3,5","1, 6", ,2.1.3, , ,3.7.8,6,"2.4, 5.2.3, 5.2.6"
K0272,Knowledge of network analysis tools used to identify software communications vulnerabilities.,,"6,2","2, 3, 4.2", ,"2.3, 3.1.6, 3.2","6, 7, 7.4", , ,6.1.7,"1.3.4, 2.8.2, 3, 4"
K0273,"WITHDRAWN: Knowledge of general kill chain (e.g., footprinting and scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks).",X, ,X, ,X,X, , , ,X
K0274,"Knowledge of transmission records (e.g., Bluetooth, Radio Frequency Identification (RFID), Infrared Networking (IR), Wireless Fidelity (Wi-Fi). paging, cellular, satellite dishes, Voice over Internet Protocol (VoIP)), and jamming techniques that enable transmission of undesirable information, or prevent installed systems from operating correctly. ",,"4,2","2.7, 3", ,"2,2","6,6", ,3.2.5,7.2.2, 
K0275,Knowledge of configuration management techniques.,,7.4.3,5.1.4, ,2.1.3,"6,4",7.1.1,4.1.11,6,5.4.9
K0276,Knowledge of security management.,,"1,9","1, 2, 3, 4, 5, 6", ,"1,9","6,4",1,"6,9",6,"1.3.4, 3.1.6, 5.4"
K0277,"Knowledge of current and emerging data encryption (e.g., Column and Tablespace Encryption, file and disk encryption) security features in databases (e.g. built-in cryptographic key management features).",,"3.5.4, 3.9","3.6, 6.1, 6.4", ,"2,2","3.2.1, 5", ,4.1.14,5.2.2,"1.3.1, 2.3.1, 4.6"
K0278,Knowledge of current and emerging data remediation security features in databases.,,3.5.3,"6,6", ,"2,2",3.2.1, ,3.7.6, ,"1.1.4, 4.6.1"
K0279,"WITHDRAWN: Knowledge of database access application programming interfaces (APIs) (e.g., Java Database Connectivity [JDBC]).",X, ,X, ,X,X, , , ,X
K0280,"Knowledge of systems engineering theories, concepts, and methods.",,"3,1","1, 2, 3, 4, 5, 6",5,"2,1","1.1, 1.4, 2.3, 2.5, 6.3", , , ,"1, 2, 3, 4, 5"
K0281,Knowledge of information technology (IT) service catalogues.,,"3,5",5.1.2, ,"2,1","2,4", , , ,"5,4"
K0282,WITHDRAWN: Integrated into K0200,X, ,X,X,X,X, , , ,X
K0283,"Knowledge of use cases related to collaboration and content synchronization across platforms (e.g., Mobile, PC, Cloud).",,"3,5",2.2.2, ,"2,2","7.2, 7.3", ,"3,7",6,"1, 2, 3, 4, 5"
K0284,Knowledge of developing and applying user credential management system.,,"5,2",1, ,2.1.2, , ,"1.1.4, 1.1.5",6,"1.3.2, 4.7"
K0285,Knowledge of implementing enterprise key escrow systems to support data-at-rest encryption.,,"2.5.1, 2.5.4","3.6, 6.1, 6.4", , ,5.4.1, ,1.1.1,5.2.2,"1.3.1, 2.3.1"
K0286,Knowledge of N-tiered typologies (e.g. including server and client operating systems).,,3.5.7, , ,"2,2", , ,3.2.2,6,"5.2.3, 5.2.6"
K0287,Knowledge of an organization's information classification program and procedures for information compromise.,,2.1.1,"2,6", ,4, , ,"3,6",2.3.3,"2,5"
K0288,Knowledge of industry standard security models.,,"3,2",5, ,"1,9","1,4", ,6.9.3,2,"1, 2, 3, 4, 5, 6"
K0289,Knowledge of system/server diagnostic tools and fault identification techniques.,,3.5.2,2.7.1, , , , ,"5,1",6, 
K0290,Knowledge of systems security testing and evaluation methods.,,"6,1","2.5.3, 4.2.1, 5.2.4, 6.5", ,"2.3, 3.1.6, 3.2","3,2","4.2.3, 5.1.5","5,2",6,"4,4"
K0291,"Knowledge of the enterprise information technology (IT) architectural concepts and patterns (e.g., baseline, validated design, and target architectures.)",,"3,1",5.1.4,"3,3","2,2","2.4, 2.5", ,"3,2", ,"1, 2, 3, 4, 5, 6"
K0292,"Knowledge of the operations and processes for incident, problem, and event management.",,"7,7","2,6","2, 4.1.3","4,2","3.3, 4","7,3","7,8","2.3.3, 5.3.12, 7.7","2.8.1, 5.4"
K0293,Knowledge of integrating the organization’s goals and objectives into the architecture.,,1.2.1,"1, 2, 3, 5, 6","3.3, 3.4","1, 2.2", , ,2,5.4.2,"1, 2, 3, 4, 5, 6"
K0294,"Knowledge of IT system operation, maintenance, and security needed to keep equipment functioning properly.",,"3,5",2.7.1, , ,"2.5, 2.6, 3.3", ,7,6,"1, 2, 3, 4, 5, 6"
K0295,"Knowledge of confidentiality, integrity, and availability principles. ",,"1,1","1, 2, 3, 4, 5, 6","1,1",1,"2,2","1.2.1, 1.2.2, 2.2.2","1,1",3.1.1,"1, 2, 3, 4, 5, 6"
K0296,"Knowledge of capabilities, applications, and potential vulnerabilities of network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware.",,4.1.2,"2.7, 4.2",3,"2.2, 2.3, 3.2","6, 7", , ,"6.1.7, 7.2.2",1.3.4
K0297,Knowledge of countermeasure design for identified security risks.,,1.9.4,4,"2, 3.3"," 1.7.2, 2.3.4, 3","4.1.6, 6.2, 7.1.2, 7.1.4 7.4.5", ,"3,1",6,6
K0298,Knowledge of countermeasures for identified security risks.,,1.9.4,4,2," 1.7.2, 2.3.4, 3","4.1.6, 6.2, 7.1.2, 7.1.4 7.4.5", ,"3,1",6,6
K0299,"Knowledge in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.",,"3,4","2, 4",2.2.4,"2.2, 2.3","2.3, 3.3", ,"7,7",5.4.1, 
K0300,Knowledge of network mapping and recreating network topologies.,,"4,1","2, 3", ,"2,2", , , ,6,"1, 3, 5"
K0301,"Knowledge of packet-level analysis using appropriate tools (e.g., Wireshark, tcpdump).",,4.1.1, , ,"2.3, 3.1.6, 3.2","4.1.2, 6.5", , ,6,2.8.2
K0302,Knowledge of the basic operation of computers.,,"3,5",2, ,"2,2", , , ,6,"1, 3, 5"
K0303,Knowledge of the use of sub-netting tools.,,4.1.2,2, ,"2,2", , , ,6,"3, 5"
K0304,Knowledge of concepts and practices of processing digital forensic data.,,7.1.1,4.1.1, , ,4.2.2, ,"7,8",6,"5,5"
K0305,Knowledge of data concealment (e.g. encryption algorithms and steganography).,,3.5.4,"3.6, 6.1, 6.4", , ,"5.1, 5.2", ,7.8.1,5.2.2,"1.3.1, 2.3.1"
K0306,WITHDRAWN: Knowledge of basic physical computer components and architectures,X, ,X,X,X,X, , , ,X
K0307,"WITHDRAWN: Knowledge of common network tools (e.g., ping, traceroute, nslookup). (See K0111)",X, ,X,X,X,X, , , ,X
K0308,Knowledge of cryptology.,,"3,9","3.6, 6.1, 6.4", ,"2,2","5.1, 5.2", ,1.1.1,6,2.3.1
K0309,Knowledge of emerging technologies that have potential for exploitation.,,6.2.1,4,"1,4","2,2", , ,"3,1",6,"1.2.6, 3.3"
K0310,Knowledge of hacking methodologies.,,6.2.2, , ,"2.3, 3.1.6, 3.2, 4.1.5","3.2, 7", ,"3,1",6,"3,3"
K0311,Knowledge of industry indicators useful for identifying technology trends.,,1.4.1,"2, 3, 5, 6", ,"2,2", , , ,6,1.2.6
K0312,"Knowledge of intelligence gathering principles, policies, and procedures including legal authorities and restrictions.",,"1,4", , ,"4,1","3.3.4, 4.2.1, 7.3.4","1.3, 1.3.1, 1.3.2, 1.3.3",2.1.4,"2.3, 4.1, 4.2, 4.3, 6.5.1", 
K0313,"Knowledge of external organizations and academic institutions with cyber focus (e.g., cyber curriculum/training and Research & Development).",,1.4.1, , ,"1,6", , ,"3,1","5.2.3, 4.1.6, 5.3.7, 7", 
K0314,Knowledge of industry technologies’ potential cybersecurity vulnerabilities.,,1.9.1,"4.2, 6.5","1,4","2.3, 3.2","3.1, 5.2, 5.3.3, 7.1", ,"3,1",6.1.7,"1.2.6, 3.3"
K0315,"Knowledge of the principal methods, procedures, and techniques of gathering information and producing, reporting, and sharing information.",,"2,5", , ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", , ,"3,1","2.3.3, 6.5.1, 6.6.5", 
K0316,"Knowledge of business or military operation plans, concept operation plans, orders, policies, and standing rules of engagement.",,1.2.2,"2.3, 4.2.1", ,1, , , ,"2,3", 
K0317,"Knowledge of procedures used for documenting and querying reported incidents, problems, and events.",,"7,7","2,6","2.2.7, 4.1.3", ,"3.3, 3.4.4, 4","7,3","7,8","2.3.3, 5.3.12, 6, 7.7","2.8.1, 5.4"
